City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chibombo,ZM,2022-08-01 22:47:19,-14.6569,28.0706,60.76,45,0,11.74
1,Bose,IT,2022-08-01 22:42:24,45.4612,8.0137,74.79,64,88,6.26
2,Tiksi,RU,2022-08-01 22:47:19,71.6872,128.8694,42.94,86,100,1.5
3,Cherskiy,RU,2022-08-01 22:47:20,68.75,161.3,70.03,42,97,21.92
4,Clyde River,CA,2022-08-01 22:47:20,70.4692,-68.5914,39.43,93,100,10.36
5,Mataura,NZ,2022-08-01 22:47:20,-46.1927,168.8643,49.82,90,99,6.46
6,Lakes Entrance,AU,2022-08-01 22:47:20,-37.8811,147.981,58.15,60,3,10.31
7,Ponta Do Sol,PT,2022-08-01 22:46:54,32.6667,-17.1,72.72,81,5,5.91
8,Avarua,CK,2022-08-01 22:47:21,-21.2078,-159.775,78.85,57,20,16.11
9,Tolbazy,RU,2022-08-01 22:47:21,54.0241,55.8825,57.79,97,23,5.68
10,Mayor Pablo Lagerenza,PY,2022-08-01 22:47:21,-19.9309,-60.7718,76.21,48,50,3.04
11,Ranong,TH,2022-08-01 22:47:22,9.9658,98.6348,78.78,90,100,8.37
12,Carnarvon,AU,2022-08-01 22:42:50,-24.8667,113.6333,64.85,66,76,18.86
13,Atuona,PF,2022-08-01 22:46:48,-9.8,-139.0333,77.95,68,26,14.52
14,Castro,BR,2022-08-01 22:47:22,-24.7911,-50.0119,59.81,70,26,0.22
15,Tartus,SY,2022-08-01 22:47:22,34.889,35.8866,79.11,84,21,5.5
16,Busselton,AU,2022-08-01 22:47:23,-33.65,115.3333,51.85,75,91,30.65
17,Tazmalt,DZ,2022-08-01 22:47:23,36.3868,4.3989,75.7,50,0,4.16
18,Lompoc,US,2022-08-01 22:44:01,34.6391,-120.4579,80.85,71,0,14.97
19,Lingyuan,CN,2022-08-01 22:47:23,41.24,119.4011,77.09,83,0,2.37
20,Mount Isa,AU,2022-08-01 22:45:06,-20.7333,139.5,67.77,37,22,0.0
21,Catamarca,AR,2022-08-01 22:47:24,-28.4696,-65.7852,60.93,41,1,9.28
22,Chuy,UY,2022-08-01 22:47:24,-33.6971,-53.4616,52.63,95,36,4.88
23,Lanas,PH,2022-08-01 22:47:24,12.0495,121.9185,80.71,79,100,6.85
24,Rikitea,PF,2022-08-01 22:46:29,-23.1203,-134.9692,72.72,74,43,25.26
25,Klaksvik,FO,2022-08-01 22:47:25,62.2266,-6.589,49.12,90,64,11.74
26,Nyzhnya Krynka,UA,2022-08-01 22:47:25,48.1135,38.1606,75.31,52,89,9.04
27,Tual,ID,2022-08-01 22:47:25,-5.6667,132.75,79.61,80,97,17.96
28,Longyearbyen,SJ,2022-08-01 22:47:25,78.2186,15.6401,51.64,76,75,6.91
29,Romitan,UZ,2022-08-01 22:47:26,39.9343,64.3814,78.75,41,0,9.22
30,Luis Correia,BR,2022-08-01 22:47:26,-2.8792,-41.6669,79.72,79,50,13.02
31,Qaanaaq,GL,2022-08-01 22:47:26,77.484,-69.3632,48.54,58,36,1.92
32,Dikson,RU,2022-08-01 22:47:26,73.5069,80.5464,41.38,86,100,8.48
33,Vanimo,PG,2022-08-01 22:47:27,-2.6741,141.3028,80.37,83,99,6.15
34,Bluff,NZ,2022-08-01 22:47:27,-46.6,168.3333,51.78,78,68,16.58
35,Ketchikan,US,2022-08-01 22:47:27,55.3422,-131.6461,68.47,60,40,5.75
36,Tavrichanka,RU,2022-08-01 22:47:28,43.3378,131.8639,73.26,97,99,4.94
37,Sembakung,ID,2022-08-01 22:47:28,3.8167,117.25,73.56,98,100,0.83
38,Talnakh,RU,2022-08-01 22:47:28,69.4865,88.3972,47.21,69,8,12.17
39,East London,ZA,2022-08-01 22:46:30,-33.0153,27.9116,55.15,69,32,7.94
40,Nikolskoye,RU,2022-08-01 22:43:57,59.7035,30.7861,62.87,98,100,9.08
41,Arraial Do Cabo,BR,2022-08-01 22:42:55,-22.9661,-42.0278,71.46,83,0,10.36
42,Hilo,US,2022-08-01 22:44:47,19.7297,-155.09,80.26,84,100,5.75
43,Gumdag,TM,2022-08-01 22:47:29,39.2061,54.5906,87.8,33,0,6.58
44,Saint-Louis,SN,2022-08-01 22:48:29,16.3333,-15.0,87.44,55,63,17.92
45,Cape Town,ZA,2022-08-01 22:47:06,-33.9258,18.4232,56.37,78,0,4.0
46,Ushuaia,AR,2022-08-01 22:48:29,-54.8,-68.3,47.86,53,20,3.44
47,Mar Del Plata,AR,2022-08-01 22:48:30,-38.0023,-57.5575,53.1,93,0,3.44
48,Jamestown,US,2022-08-01 22:48:07,42.097,-79.2353,78.39,59,100,11.5
